second,avg_latency_ms_consul,throughput_consul,avg_cpu_consul,avg_memory_mb_consul,avg_latency_ms_etcd,throughput_etcd,avg_cpu_etcd,avg_memory_mb_etcd,avg_latency_ms_etcd2,throughput_etcd2,avg_cpu_etcd2,avg_memory_mb_etcd2,avg_latency_ms_zk,throughput_zk,avg_cpu_zk,avg_memory_mb_zk
331,14.339763,69,7.92,60.69,,,,,,,,,,,,
332,14.565629,69,7.92,60.98,,,,,,,,,,,,
333,14.316429,70,7.92,60.98,,,,,,,,,,,,
334,14.603859,69,7.93,61.15,,,,,,,,,,,,
335,14.346907,69,7.93,61.15,,,,,,,,,,,,
336,14.497849,69,7.94,61.15,,,,,,,,,,,,
337,14.523346,69,7.95,64.06,,,,,,,,,,,,
338,14.257966,70,7.96,65.23,,,,,,,,,,,,
339,14.280160,70,7.97,66.20,,,,,,,,,,,,
340,14.273799,70,7.97,66.28,,,,,,,,,,,,
341,14.250403,70,7.98,66.55,,,,,,,,,,,,
342,14.641169,69,7.98,66.55,,,,,,,,,,,,
343,14.587451,68,7.99,66.72,,,,,,,,,,,,
344,14.646295,68,7.99,66.90,,,,,,,,,,,,
345,14.638538,69,8.00,66.90,,,,,,,,,,,,
346,14.754847,67,8.00,66.90,,,,,,,,,,,,
347,14.842919,68,8.01,66.90,,,,,,,,,,,,
348,14.335410,70,8.01,66.90,,,,,,,,,,,,
349,14.668300,68,8.02,66.99,,,,,,,,,,,,
350,14.272901,70,8.02,66.99,,,,,,,,,,,,
351,14.512757,69,8.03,67.24,,,,,,,,,,,,
352,14.345599,69,8.03,67.24,,,,,,,,,,,,
353,14.189748,71,8.04,67.24,,,,,,,,,,,,
354,14.328173,70,8.04,67.24,,,,,,,,,,,,
355,14.359242,69,8.05,67.24,,,,,,,,,,,,
356,13.965919,72,8.05,67.24,,,,,,,,,,,,
357,14.519075,69,8.05,67.24,,,,,,,,,,,,
358,14.523564,69,8.06,67.24,,,,,,,,,,,,
359,14.322211,69,8.06,67.24,,,,,,,,,,,,
360,14.178622,71,8.07,67.24,,,,,,,,,,,,
361,14.012044,71,8.08,67.33,,,,,,,,,,,,
362,14.388106,70,8.08,67.33,,,,,,,,,,,,
363,14.061532,71,8.08,67.33,,,,,,,,,,,,
364,14.111387,71,8.09,67.33,,,,,,,,,,,,
365,13.960969,71,8.09,67.33,,,,,,,,,,,,
366,14.404323,70,8.10,67.58,,,,,,,,,,,,
367,14.149291,70,8.10,67.58,,,,,,,,,,,,
368,14.480936,69,8.11,67.58,,,,,,,,,,,,
369,14.111940,71,8.11,67.58,,,,,,,,,,,,
370,14.347112,70,8.12,67.58,,,,,,,,,,,,
371,14.220182,70,8.12,67.58,,,,,,,,,,,,
372,14.204226,70,8.13,67.58,,,,,,,,,,,,
373,14.284214,71,8.13,67.75,,,,,,,,,,,,
374,14.345457,69,8.13,67.75,,,,,,,,,,,,
375,14.226534,70,8.14,67.75,,,,,,,,,,,,
376,14.200107,71,8.14,67.84,,,,,,,,,,,,
377,14.509516,69,8.15,67.84,,,,,,,,,,,,
378,14.328276,70,8.15,67.84,,,,,,,,,,,,
