unix_ts,avg_latency_ms,throughput,cpu_1,memory_mb_1,cpu_2,memory_mb_2,cpu_3,memory_mb_3,avg_cpu,avg_memory_mb
1458768691,81.101163,10740,151.35,4598.20,141.50,3693.80,138.14,3527.55,143.66,3939.85
1458768692,86.650898,10612,151.07,4598.20,141.68,3694.04,137.58,3527.55,143.44,3939.93
1458768693,128.725659,6575,151.20,4598.20,141.65,3694.04,137.55,3527.55,143.47,3939.93
1458768694,200.068995,4895,151.19,4598.20,141.54,3694.04,138.14,3527.55,143.62,3939.93
1458768695,190.325012,5385,151.37,4598.20,142.27,3694.04,137.96,3527.55,143.87,3939.93
1458768696,114.177420,3433,150.53,4598.20,142.40,3694.04,138.52,3527.55,143.82,3939.93
1458768697,146.471672,9725,149.41,4598.20,142.55,3742.88,137.72,3527.55,143.23,3956.21
1458768698,388.328381,1878,148.35,4598.20,141.72,3742.88,136.84,3527.55,142.30,3956.21
1458768699,110.811521,8073,147.29,4598.20,140.83,3742.88,135.96,3527.55,141.36,3956.21
1458768700,306.909805,2682,146.27,4598.20,139.95,3742.88,135.11,3527.55,140.44,3956.21
1458768701,399.392565,2837,145.78,4598.20,139.05,3742.88,134.24,3527.55,139.69,3956.21
1458768702,194.833209,3719,145.53,4608.94,138.90,3742.88,133.86,3527.55,139.43,3959.79
1458768703,566.891018,951,145.41,4608.94,138.74,3742.88,134.01,3527.55,139.39,3959.79
1458768704,158.640794,5563,145.67,4608.94,139.23,3742.88,134.72,3527.55,139.87,3959.79
1458768705,446.866947,1622,145.52,4608.94,139.16,3742.88,134.70,3527.55,139.79,3959.79
1458768706,676.476231,860,145.23,4608.94,139.54,4019.60,135.34,3527.55,140.04,4052.03
1458768707,750.311391,743,144.24,4608.94,139.28,4019.60,134.49,3527.55,139.34,4052.03
1458768708,711.922448,903,143.21,4608.94,138.30,4019.73,133.52,3527.55,138.34,4052.07
1458768709,108.774133,8618,142.19,4608.94,137.35,4019.73,132.55,3527.55,137.36,4052.07
1458768710,145.484107,6992,141.15,4608.94,136.41,4019.73,131.57,3527.55,136.38,4052.07
1458768711,248.947507,3788,140.16,4608.94,135.45,4019.73,130.62,3527.55,135.41,4052.07
1458768712,611.651556,1425,139.14,4608.94,134.46,4019.73,129.65,3527.55,134.42,4052.07
