second,avg_latency_ms_consul,throughput_consul,avg_cpu_consul,avg_memory_mb_consul,avg_latency_ms_etcd,throughput_etcd,avg_cpu_etcd,avg_memory_mb_etcd,avg_latency_ms_etcd2,throughput_etcd2,avg_cpu_etcd2,avg_memory_mb_etcd2,avg_latency_ms_zk,throughput_zk,avg_cpu_zk,avg_memory_mb_zk
166,1922.981972,651,87.71,1482.14,,,,,,,,,,,,
167,1941.183316,350,87.62,1484.15,,,,,,,,,,,,
168,1990.011087,668,87.50,1487.98,,,,,,,,,,,,
169,1910.543355,343,87.63,1491.17,,,,,,,,,,,,
170,1987.589842,660,87.60,1493.83,,,,,,,,,,,,
171,1954.434665,501,87.58,1494.14,,,,,,,,,,,,
172,1911.227914,516,87.41,1494.33,,,,,,,,,,,,
173,1927.151494,542,87.32,1494.41,,,,,,,,,,,,
174,1921.699936,461,87.23,1496.07,,,,,,,,,,,,
175,1995.037044,540,87.14,1496.23,,,,,,,,,,,,
176,1952.052426,465,87.05,1496.42,,,,,,,,,,,,
177,1955.708998,541,86.96,1496.67,,,,,,,,,,,,
178,1955.720589,461,86.86,1498.02,,,,,,,,,,,,
179,2009.965915,538,86.79,1499.66,,,,,,,,,,,,
180,1973.028781,482,86.47,1499.82,,,,,,,,,,,,
181,1971.339912,521,86.63,1499.82,,,,,,,,,,,,
182,2002.736674,477,86.30,1500.03,,,,,,,,,,,,
183,2002.884716,522,86.46,1500.42,,,,,,,,,,,,
184,1987.269980,483,86.14,1500.67,,,,,,,,,,,,
185,1881.961210,521,86.29,1501.20,,,,,,,,,,,,
186,2011.783612,476,85.97,1501.64,,,,,,,,,,,,
187,2023.130361,542,85.95,1502.08,,,,,,,,,,,,
188,1976.038502,461,85.82,1502.72,,,,,,,,,,,,
189,1981.286808,540,85.74,1502.72,,,,,,,,,,,,
190,1967.679617,458,85.66,1502.72,,,,,,,,,,,,
191,2020.928108,542,85.62,1503.29,,,,,,,,,,,,
192,1960.333149,461,85.92,1509.69,,,,,,,,,,,,
193,1992.981461,535,86.01,1509.90,,,,,,,,,,,,
194,1990.861221,515,85.91,1509.90,,,,,,,,,,,,
195,1967.121629,148,86.13,1691.82,,,,,,,,,,,,
196,2299.976169,867,86.14,1720.18,,,,,,,,,,,,
197,1393.248613,944,86.36,1779.66,,,,,,,,,,,,
198,992.662540,1065,86.34,1820.96,,,,,,,,,,,,
199,765.290493,1069,86.57,1821.14,,,,,,,,,,,,
200,694.543341,1966,86.64,1821.14,,,,,,,,,,,,
201,504.741360,1880,86.84,1821.14,,,,,,,,,,,,
202,587.371397,1660,87.09,1821.14,,,,,,,,,,,,
203,331.717475,3258,87.16,1821.21,,,,,,,,,,,,
204,387.236716,2444,87.61,1821.21,,,,,,,,,,,,
205,240.341117,4126,87.83,1821.21,,,,,,,,,,,,
206,315.729918,3432,88.19,1821.21,,,,,,,,,,,,
207,264.731242,3776,88.38,1821.54,,,,,,,,,,,,
208,297.851489,3172,88.72,1821.62,,,,,,,,,,,,
209,296.243833,3535,88.90,1821.62,,,,,,,,,,,,
210,287.699592,3367,89.26,1821.62,,,,,,,,,,,,
211,284.053642,3419,89.44,1821.62,,,,,,,,,,,,
212,247.441464,3894,89.95,1821.62,,,,,,,,,,,,
213,289.428984,3786,90.01,1821.62,,,,,,,,,,,,
214,258.734782,3328,90.37,1821.62,,,,,,,,,,,,
215,333.605751,3304,90.53,1821.70,,,,,,,,,,,,
216,281.259932,3740,90.93,1821.70,,,,,,,,,,,,
217,258.171579,3233,91.08,1821.70,,,,,,,,,,,,
218,325.058411,3306,91.46,1821.79,,,,,,,,,,,,
219,255.315756,4191,91.41,1821.79,,,,,,,,,,,,
220,302.216589,3190,91.87,1821.79,,,,,,,,,,,,
221,254.091929,4096,91.95,1821.86,,,,,,,,,,,,
222,265.468190,3328,92.21,1821.86,,,,,,,,,,,,
223,331.115915,3239,92.45,1821.86,,,,,,,,,,,,
224,273.290096,2793,92.30,1821.86,,,,,,,,,,,,
225,453.710957,2757,92.66,1821.94,,,,,,,,,,,,
226,286.509618,3611,92.80,1821.94,,,,,,,,,,,,
227,267.752263,3556,92.97,1821.94,,,,,,,,,,,,
228,240.945002,4017,93.33,1821.94,,,,,,,,,,,,
229,330.595632,3237,93.50,1821.94,,,,,,,,,,,,
230,255.091188,3904,93.67,1821.94,,,,,,,,,,,,
231,299.097708,3345,94.03,1821.94,,,,,,,,,,,,
232,245.186491,3987,93.98,1821.94,,,,,,,,,,,,
233,306.328355,2736,94.33,1821.94,,,,,,,,,,,,
234,266.384409,4412,94.51,1821.94,,,,,,,,,,,,
235,246.583507,3535,94.75,1821.94,,,,,,,,,,,,
236,314.248030,3517,94.82,1821.94,,,,,,,,,,,,
237,244.907316,4219,94.98,1821.94,,,,,,,,,,,,
238,300.874652,3335,95.39,1821.94,,,,,,,,,,,,
239,246.737728,4101,95.32,1821.94,,,,,,,,,,,,
240,251.658206,3063,95.53,1822.06,,,,,,,,,,,,
241,364.166593,3296,95.81,1822.06,,,,,,,,,,,,
242,279.711227,3519,95.71,1822.06,,,,,,,,,,,,
243,284.413560,3553,96.12,1822.40,,,,,,,,,,,,
244,308.646603,3183,96.23,1822.40,,,,,,,,,,,,
245,331.614880,2392,96.38,1822.40,,,,,,,,,,,,
246,283.542906,4327,96.56,1822.48,,,,,,,,,,,,
247,231.870512,4384,96.69,1822.48,,,,,,,,,,,,
248,378.108408,2635,96.87,1822.48,,,,,,,,,,,,
249,246.365184,3957,97.02,1822.56,,,,,,,,,,,,
250,248.257454,4134,97.16,1822.56,,,,,,,,,,,,
251,306.562686,2997,97.35,1822.56,,,,,,,,,,,,
252,248.617931,4129,97.47,1822.56,,,,,,,,,,,,
253,324.279801,2599,97.66,1822.56,,,,,,,,,,,,
254,271.128304,4404,97.59,1822.56,,,,,,,,,,,,
255,260.258961,3839,97.84,1822.73,,,,,,,,,,,,
256,343.123484,3048,98.14,1822.81,,,,,,,,,,,,
257,245.506565,3969,98.07,1822.81,,,,,,,,,,,,
258,237.763889,4223,98.01,1822.81,,,,,,,,,,,,
259,327.232879,2823,98.58,1823.41,,,,,,,,,,,,
260,316.790030,3235,98.49,1823.41,,,,,,,,,,,,
261,291.029002,3424,98.42,1823.41,,,,,,,,,,,,
262,324.461137,3085,98.92,1827.04,,,,,,,,,,,,
263,230.464381,4599,99.16,1835.35,,,,,,,,,,,,
264,380.331982,2385,99.19,1837.60,,,,,,,,,,,,
265,376.289162,2768,99.66,1841.19,,,,,,,,,,,,
266,239.825747,4352,99.69,1841.37,,,,,,,,,,,,
267,244.507811,3999,99.86,1851.46,,,,,,,,,,,,
268,314.424269,2780,100.23,1878.63,,,,,,,,,,,,
269,361.990223,3125,100.14,1941.73,,,,,,,,,,,,
270,281.530464,3576,100.29,1943.75,,,,,,,,,,,,
271,238.925018,3435,100.47,1943.83,,,,,,,,,,,,
272,285.827589,3997,100.64,1943.92,,,,,,,,,,,,
273,252.042294,3105,100.76,1948.93,,,,,,,,,,,,
274,329.345359,3823,100.72,1948.93,,,,,,,,,,,,
275,308.837127,3060,101.09,1952.45,,,,,,,,,,,,
276,243.145038,4318,101.01,1952.53,,,,,,,,,,,,
277,256.264679,3682,101.15,1952.53,,,,,,,,,,,,
278,259.615990,3290,101.46,1961.05,,,,,,,,,,,,
279,459.006418,2510,101.45,1961.31,,,,,,,,,,,,
280,257.220908,4071,101.61,1961.31,,,,,,,,,,,,
281,247.089777,4090,101.55,1961.31,,,,,,,,,,,,
282,319.401358,3104,101.85,1961.40,,,,,,,,,,,,
283,246.470210,4160,101.86,1961.48,,,,,,,,,,,,
284,252.621061,3369,101.98,1971.42,,,,,,,,,,,,
285,351.553916,3070,102.11,1979.20,,,,,,,,,,,,
286,323.210941,3338,102.27,1980.26,,,,,,,,,,,,
287,246.134717,3904,102.21,1980.58,,,,,,,,,,,,
288,241.594908,3907,102.38,1980.66,,,,,,,,,,,,
289,240.535090,4349,102.44,1980.99,,,,,,,,,,,,
290,373.755210,2623,102.48,1988.90,,,,,,,,,,,,
291,320.509983,3200,102.83,1989.34,,,,,,,,,,,,
292,236.824597,4168,102.77,1989.43,,,,,,,,,,,,
293,227.249214,4480,102.79,1996.01,,,,,,,,,,,,
294,358.847788,2824,103.12,1996.01,,,,,,,,,,,,
295,233.326885,4150,103.07,1996.27,,,,,,,,,,,,
296,236.171817,4344,103.03,1996.53,,,,,,,,,,,,
297,240.294837,4118,103.29,2008.23,,,,,,,,,,,,
298,399.200035,1731,103.71,2014.36,,,,,,,,,,,,
299,301.452569,4347,103.65,2014.53,,,,,,,,,,,,
300,250.224819,4032,103.64,2014.61,,,,,,,,,,,,
301,253.784537,3840,103.83,2014.61,,,,,,,,,,,,
302,253.355887,4054,103.94,2019.84,,,,,,,,,,,,
303,385.007603,2602,103.97,2020.28,,,,,,,,,,,,
304,265.953949,3904,104.18,2020.98,,,,,,,,,,,,
305,246.457186,3748,104.14,2026.35,,,,,,,,,,,,
306,256.431087,3224,104.33,2033.60,,,,,,,,,,,,
307,289.000417,4076,104.71,2043.60,,,,,,,,,,,,
308,418.195638,2456,104.74,2043.78,,,,,,,,,,,,
309,261.389567,3833,104.69,2043.87,,,,,,,,,,,,
310,235.283939,4269,104.65,2043.87,,,,,,,,,,,,
311,255.516757,4032,104.85,2043.87,,,,,,,,,,,,
312,242.789131,3904,104.96,2053.17,,,,,,,,,,,,
313,378.748604,2624,105.00,2053.59,,,,,,,,,,,,
314,261.715159,3904,104.96,2054.01,,,,,,,,,,,,
315,263.084324,3840,105.15,2057.98,,,,,,,,,,,,
316,252.171483,3903,105.32,2073.23,,,,,,,,,,,,
317,329.401078,3048,105.31,2074.13,,,,,,,,,,,,
318,230.605707,3443,105.52,2083.14,,,,,,,,,,,,
319,367.386289,3325,105.70,1912.20,,,,,,,,,,,,
320,258.396944,3840,105.65,1913.37,,,,,,,,,,,,
321,248.480361,2587,105.39,1913.37,,,,,,,,,,,,
